run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,glioma_samples,batch_size,learning_rate,epochs
ssxvhujg,trainpercent_0.9_run_4,87.45874587458746,93.13725489891708,81.66666666394444,90.3954802259887,951,16,0.0005,1000
06a77nm7,trainpercent_0.8_run_4,90.92409240924091,90.19607842842497,91.66666666361112,91.1487758945386,845,16,0.0005,1000
zwkq6pjb,trainpercent_0.7_run_4,89.60396039603961,89.21568627159425,89.999999997,89.26553672316385,739,16,0.0005,1000
zcjdpyr4,trainpercent_0.6_run_4,88.94389438943894,93.46405228452733,84.33333333052222,91.33709981167608,634,16,0.0005,1000
d9lcrs3e,trainpercent_0.5_run_4,87.45874587458746,89.86928104281473,84.99999999716667,86.25235404896422,528,16,0.0005,1000
v1fnwccx,trainpercent_0.4_run_4,86.96369636963696,91.83006535647614,81.99999999726666,88.88888888888889,422,16,0.0005,1000
h4vxhcci,trainpercent_0.3_run_4,85.47854785478548,91.83006535647614,78.99999999736667,86.62900188323917,317,16,0.0005,1000
5vhql8yw,trainpercent_0.2_run_4,82.83828382838284,83.66013071622027,81.99999999726666,85.68738229755178,211,16,0.0005,1000
6uqvqxiw,trainpercent_0.1_run_4,77.22772277227723,74.50980391913366,79.99999999733333,78.15442561205273,105,16,0.0005,1000
jveowxjs,trainpercent_1_run_5,95.54455445544556,95.75163398379895,95.33333333015555,92.65536723163842,1057,16,0.0005,1000
dwy22b9o,trainpercent_0.9_run_5,94.3894389438944,91.83006535647614,96.99999999676666,93.78531073446328,951,16,0.0005,1000
gtnj1otv,trainpercent_0.8_run_5,90.26402640264028,90.19607842842497,90.33333333032222,91.90207156308853,845,16,0.0005,1000
yrkp4x7p,trainpercent_0.7_run_5,89.93399339933994,94.44444444135802,85.3333333304889,91.1487758945386,739,16,0.0005,1000
6wpur2x5,trainpercent_0.6_run_5,90.92409240924091,91.83006535647614,89.999999997,91.90207156308853,634,16,0.0005,1000
mz494lex,trainpercent_0.5_run_5,84.81848184818482,92.15686274208637,77.33333333075555,87.94726930320151,528,16,0.0005,1000
0fp5z0nz,trainpercent_0.4_run_5,84.98349834983499,92.15686274208637,77.66666666407778,86.06403013182674,422,16,0.0005,1000
enfqqp85,trainpercent_0.3_run_5,88.77887788778878,92.4836601276966,84.99999999716667,87.38229755178908,317,16,0.0005,1000
hl36eqxk,trainpercent_0.2_run_5,84.32343234323433,92.81045751330684,75.66666666414444,81.54425612052731,211,16,0.0005,1000
727ehzxc,trainpercent_0.1_run_5,82.50825082508251,86.60130718671238,78.33333333072223,81.54425612052731,105,16,0.0005,1000
0pe4yf9w,trainpercent_1_run_6,92.40924092409242,95.09803921257848,89.66666666367777,93.40866290018832,1057,16,0.0005,1000
2y1cndgp,trainpercent_0.9_run_6,91.25412541254126,89.86928104281473,92.66666666357779,91.1487758945386,951,16,0.0005,1000
tyz8yt2a,trainpercent_0.8_run_6,91.08910891089108,91.50326797086592,90.66666666364443,92.27871939736346,845,16,0.0005,1000
wbtm9q2h,trainpercent_0.7_run_6,89.93399339933994,90.84967319964544,88.99999999703333,90.96045197740112,739,16,0.0005,1000
dp8r3ujs,trainpercent_0.6_run_6,91.91419141914191,93.46405228452733,90.33333333032222,90.20715630885122,634,16,0.0005,1000
uraln0o5,trainpercent_0.5_run_6,91.08910891089108,93.13725489891708,88.99999999703333,89.26553672316385,528,16,0.0005,1000
tc7ao0an,trainpercent_0.4_run_6,87.62376237623762,95.09803921257848,79.99999999733333,89.45386064030131,422,16,0.0005,1000
ucpyo6iw,trainpercent_0.3_run_6,88.28382838283828,92.15686274208637,84.33333333052222,85.68738229755178,317,16,0.0005,1000
3yjvex5v,trainpercent_0.2_run_6,85.31353135313532,94.1176470557478,76.33333333078889,83.9924670433145,211,16,0.0005,1000
l4eq8jt6,trainpercent_0.1_run_6,79.37293729372938,87.58169934354308,70.99999999763334,81.92090395480226,105,16,0.0005,1000
zh145re7,trainpercent_1_run_7,93.56435643564356,95.42483659818872,91.66666666361112,91.90207156308853,1057,16,0.0005,1000
yrynkopu,trainpercent_0.9_run_7,91.08910891089108,92.81045751330684,89.33333333035556,92.09039548022598,951,16,0.0005,1000
s82pxyks,trainpercent_0.8_run_7,92.9042904290429,92.81045751330684,92.9999999969,91.33709981167608,845,16,0.0005,1000
gctuodo7,trainpercent_0.7_run_7,91.08910891089108,92.15686274208637,89.999999997,90.58380414312616,739,16,0.0005,1000
d96q01iz,trainpercent_0.6_run_7,85.64356435643565,89.86928104281473,81.33333333062221,89.26553672316385,634,16,0.0005,1000
ebpmpe4b,trainpercent_0.5_run_7,86.13861386138613,89.5424836572045,82.6666666639111,86.06403013182674,528,16,0.0005,1000
sna195w8,trainpercent_0.4_run_7,84.65346534653466,85.62091502988167,83.66666666387778,88.88888888888889,422,16,0.0005,1000
tdl39eoj,trainpercent_0.3_run_7,84.65346534653466,86.27450980110214,82.99999999723333,86.81732580037664,317,16,0.0005,1000
02dpbwqy,trainpercent_0.2_run_7,86.13861386138613,89.86928104281473,82.33333333058889,86.25235404896422,211,16,0.0005,1000
zh62nnxi,trainpercent_0.1_run_7,77.72277227722772,74.18300653352344,81.33333333062221,79.09604519774011,105,16,0.0005,1000
oyavaony,trainpercent_1_run_8,97.02970297029702,98.03921568307061,95.9999999968,92.46704331450094,1057,16,0.0005,1000
2vtdhtf6,trainpercent_0.9_run_8,89.76897689768977,89.86928104281473,89.66666666367777,92.8436911487759,951,16,0.0005,1000
knmyt9h2,trainpercent_0.8_run_8,91.91419141914191,88.88888888598402,94.99999999683332,90.96045197740112,845,16,0.0005,1000
4c7gkxbr,trainpercent_0.7_run_8,90.5940594059406,91.83006535647614,89.33333333035556,91.90207156308853,739,16,0.0005,1000
6ix1zc1r,trainpercent_0.6_run_8,90.75907590759076,90.19607842842497,91.33333333028888,90.3954802259887,634,16,0.0005,1000
d8ip5pu3,trainpercent_0.5_run_8,86.46864686468646,90.84967319964544,81.99999999726666,87.1939736346516,528,16,0.0005,1000
6em51vu4,trainpercent_0.4_run_8,85.8085808580858,93.79084967013756,77.66666666407778,86.25235404896422,422,16,0.0005,1000
myxv5iau,trainpercent_0.3_run_8,86.3036303630363,87.90849672915331,84.66666666384445,87.38229755178908,317,16,0.0005,1000
78kg7dpg,trainpercent_0.2_run_8,85.14851485148515,90.84967319964544,79.33333333068889,88.32391713747646,211,16,0.0005,1000
6apjqq2l,trainpercent_0.1_run_8,78.7128712871287,83.00653594499978,74.33333333085555,78.15442561205273,105,16,0.0005,1000
7rwezglr,trainpercent_1_run_9,91.4191419141914,92.81045751330684,89.999999997,92.46704331450094,1057,16,0.0005,1000
f3v0zkvi,trainpercent_0.9_run_9,91.25412541254126,91.17647058525566,91.33333333028888,91.90207156308853,951,16,0.0005,1000
91xwc1bx,trainpercent_0.8_run_9,90.26402640264028,88.23529411476355,92.33333333025556,92.27871939736346,845,16,0.0005,1000
cetfmsgf,trainpercent_0.7_run_9,88.94389438943894,85.9477124154919,91.99999999693333,91.1487758945386,739,16,0.0005,1000
b458jyp6,trainpercent_0.6_run_9,92.40924092409242,93.13725489891708,91.66666666361112,91.33709981167608,634,16,0.0005,1000
vamypdzy,trainpercent_0.5_run_9,88.77887788778878,91.17647058525566,86.33333333045556,90.01883239171374,528,16,0.0005,1000
7n0agwd5,trainpercent_0.4_run_9,85.31353135313532,91.83006535647614,78.66666666404444,87.57062146892656,422,16,0.0005,1000
