Epoch 86 | Train Loss: 0.2008 | Val Loss: 0.2591 | Val Acc: 90.98% | Sens: 0.95 | Spec: 0.87 | AUC: 0.97 | ✅ Correct: 484 | ❌ Incorrect: 48 | 📦 Total: 532
Epoch 87 | Train Loss: 0.2235 | Val Loss: 0.1964 | Val Acc: 92.11% | Sens: 0.93 | Spec: 0.91 | AUC: 0.98 | ✅ Correct: 490 | ❌ Incorrect: 42 | 📦 Total: 532
Epoch 88 | Train Loss: 0.1878 | Val Loss: 0.1940 | Val Acc: 92.11% | Sens: 0.92 | Spec: 0.92 | AUC: 0.98 | ✅ Correct: 490 | ❌ Incorrect: 42 | 📦 Total: 532
Epoch 89 | Train Loss: 0.1822 | Val Loss: 0.1821 | Val Acc: 92.29% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98 | ✅ Correct: 491 | ❌ Incorrect: 41 | 📦 Total: 532
Epoch 90 | Train Loss: 0.1810 | Val Loss: 0.2079 | Val Acc: 92.29% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98 | ✅ Correct: 491 | ❌ Incorrect: 41 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_090.pt
Epoch 91 | Train Loss: 0.2183 | Val Loss: 0.2370 | Val Acc: 89.85% | Sens: 0.87 | Spec: 0.92 | AUC: 0.97 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 92 | Train Loss: 0.2066 | Val Loss: 0.2201 | Val Acc: 90.60% | Sens: 0.95 | Spec: 0.86 | AUC: 0.98 | ✅ Correct: 482 | ❌ Incorrect: 50 | 📦 Total: 532
Epoch 93 | Train Loss: 0.1813 | Val Loss: 0.2136 | Val Acc: 93.05% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98 | ✅ Correct: 495 | ❌ Incorrect: 37 | 📦 Total: 532
Epoch 94 | Train Loss: 0.1863 | Val Loss: 0.1869 | Val Acc: 91.92% | Sens: 0.92 | Spec: 0.92 | AUC: 0.98 | ✅ Correct: 489 | ❌ Incorrect: 43 | 📦 Total: 532
Epoch 95 | Train Loss: 0.1905 | Val Loss: 0.2166 | Val Acc: 93.61% | Sens: 0.98 | Spec: 0.89 | AUC: 0.98 | ✅ Correct: 498 | ❌ Incorrect: 34 | 📦 Total: 532
Epoch 96 | Train Loss: 0.1773 | Val Loss: 0.1832 | Val Acc: 92.67% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98 | ✅ Correct: 493 | ❌ Incorrect: 39 | 📦 Total: 532
Epoch 97 | Train Loss: 0.1725 | Val Loss: 0.1911 | Val Acc: 92.86% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98 | ✅ Correct: 494 | ❌ Incorrect: 38 | 📦 Total: 532
Epoch 98 | Train Loss: 0.1639 | Val Loss: 0.1929 | Val Acc: 92.29% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98 | ✅ Correct: 491 | ❌ Incorrect: 41 | 📦 Total: 532
Epoch 99 | Train Loss: 0.1458 | Val Loss: 0.1894 | Val Acc: 92.29% | Sens: 0.95 | Spec: 0.89 | AUC: 0.98 | ✅ Correct: 491 | ❌ Incorrect: 41 | 📦 Total: 532
🚨 Early stopping triggered after 99 epochs with no improvement in val_loss.
✅ Final model saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/final_model.pt
