Epoch 74 | Train Loss: 0.1940 | Val Loss: 0.3193 | Val Acc: 88.53% | Sens: 0.85 | Spec: 0.92 | AUC: 0.95 | ✅ Correct: 471 | ❌ Incorrect: 61 | 📦 Total: 532
Epoch 75 | Train Loss: 0.1898 | Val Loss: 0.3135 | Val Acc: 88.53% | Sens: 0.86 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 471 | ❌ Incorrect: 61 | 📦 Total: 532
Epoch 76 | Train Loss: 0.1872 | Val Loss: 0.3160 | Val Acc: 88.72% | Sens: 0.89 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 77 | Train Loss: 0.1795 | Val Loss: 0.3060 | Val Acc: 88.35% | Sens: 0.86 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 78 | Train Loss: 0.1771 | Val Loss: 0.3078 | Val Acc: 88.35% | Sens: 0.88 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 79 | Train Loss: 0.1743 | Val Loss: 0.3321 | Val Acc: 89.10% | Sens: 0.93 | Spec: 0.85 | AUC: 0.96 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
Epoch 80 | Train Loss: 0.1807 | Val Loss: 0.3076 | Val Acc: 88.35% | Sens: 0.87 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_080.pt
Epoch 81 | Train Loss: 0.1703 | Val Loss: 0.3056 | Val Acc: 87.97% | Sens: 0.85 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 82 | Train Loss: 0.1640 | Val Loss: 0.3033 | Val Acc: 88.72% | Sens: 0.88 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 83 | Train Loss: 0.1755 | Val Loss: 0.3162 | Val Acc: 88.91% | Sens: 0.83 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 84 | Train Loss: 0.1838 | Val Loss: 0.3006 | Val Acc: 88.72% | Sens: 0.85 | Spec: 0.93 | AUC: 0.96 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 85 | Train Loss: 0.1764 | Val Loss: 0.2941 | Val Acc: 88.35% | Sens: 0.86 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 86 | Train Loss: 0.1626 | Val Loss: 0.3153 | Val Acc: 88.91% | Sens: 0.83 | Spec: 0.95 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 87 | Train Loss: 0.1672 | Val Loss: 0.3225 | Val Acc: 88.72% | Sens: 0.82 | Spec: 0.96 | AUC: 0.96 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 88 | Train Loss: 0.1753 | Val Loss: 0.2932 | Val Acc: 88.35% | Sens: 0.87 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 89 | Train Loss: 0.1601 | Val Loss: 0.2929 | Val Acc: 88.91% | Sens: 0.88 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 90 | Train Loss: 0.1527 | Val Loss: 0.2958 | Val Acc: 89.10% | Sens: 0.90 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_090.pt
Epoch 91 | Train Loss: 0.1596 | Val Loss: 0.2944 | Val Acc: 88.91% | Sens: 0.87 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 92 | Train Loss: 0.1490 | Val Loss: 0.2921 | Val Acc: 89.10% | Sens: 0.89 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
Epoch 93 | Train Loss: 0.1434 | Val Loss: 0.2949 | Val Acc: 89.10% | Sens: 0.90 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
Epoch 94 | Train Loss: 0.1528 | Val Loss: 0.3052 | Val Acc: 90.41% | Sens: 0.93 | Spec: 0.88 | AUC: 0.96 | ✅ Correct: 481 | ❌ Incorrect: 51 | 📦 Total: 532
Epoch 95 | Train Loss: 0.1494 | Val Loss: 0.2874 | Val Acc: 89.47% | Sens: 0.90 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 476 | ❌ Incorrect: 56 | 📦 Total: 532
Epoch 96 | Train Loss: 0.1377 | Val Loss: 0.2917 | Val Acc: 90.04% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
Epoch 97 | Train Loss: 0.1422 | Val Loss: 0.2916 | Val Acc: 89.85% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 478 | ❌ Incorrect: 54 | 📦 Total: 532
Epoch 98 | Train Loss: 0.1450 | Val Loss: 0.3139 | Val Acc: 91.17% | Sens: 0.95 | Spec: 0.88 | AUC: 0.96 | ✅ Correct: 485 | ❌ Incorrect: 47 | 📦 Total: 532
Epoch 99 | Train Loss: 0.1457 | Val Loss: 0.3176 | Val Acc: 90.79% | Sens: 0.95 | Spec: 0.87 | AUC: 0.96 | ✅ Correct: 483 | ❌ Incorrect: 49 | 📦 Total: 532
Epoch 100 | Train Loss: 0.1339 | Val Loss: 0.3174 | Val Acc: 90.98% | Sens: 0.95 | Spec: 0.87 | AUC: 0.96 | ✅ Correct: 484 | ❌ Incorrect: 48 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_100.pt
Epoch 101 | Train Loss: 0.1383 | Val Loss: 0.2821 | Val Acc: 90.04% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
Epoch 102 | Train Loss: 0.1318 | Val Loss: 0.3070 | Val Acc: 91.17% | Sens: 0.94 | Spec: 0.88 | AUC: 0.96 | ✅ Correct: 485 | ❌ Incorrect: 47 | 📦 Total: 532
Epoch 103 | Train Loss: 0.1504 | Val Loss: 0.3296 | Val Acc: 90.98% | Sens: 0.96 | Spec: 0.86 | AUC: 0.96 | ✅ Correct: 484 | ❌ Incorrect: 48 | 📦 Total: 532
Epoch 104 | Train Loss: 0.1369 | Val Loss: 0.2901 | Val Acc: 90.23% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96 | ✅ Correct: 480 | ❌ Incorrect: 52 | 📦 Total: 532
