Epoch 74 | Train Loss: 0.1704 | Val Loss: 0.3357 | Val Acc: 87.78% | Sens: 0.83 | Spec: 0.93 | AUC: 0.95 | ✅ Correct: 467 | ❌ Incorrect: 65 | 📦 Total: 532
Epoch 75 | Train Loss: 0.1666 | Val Loss: 0.3284 | Val Acc: 88.72% | Sens: 0.87 | Spec: 0.91 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 76 | Train Loss: 0.1581 | Val Loss: 0.3442 | Val Acc: 88.72% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 77 | Train Loss: 0.1550 | Val Loss: 0.3258 | Val Acc: 88.72% | Sens: 0.89 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 472 | ❌ Incorrect: 60 | 📦 Total: 532
Epoch 78 | Train Loss: 0.1465 | Val Loss: 0.3262 | Val Acc: 89.10% | Sens: 0.88 | Spec: 0.90 | AUC: 0.95 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
Epoch 79 | Train Loss: 0.1525 | Val Loss: 0.3550 | Val Acc: 88.91% | Sens: 0.92 | Spec: 0.86 | AUC: 0.95 | ✅ Correct: 473 | ❌ Incorrect: 59 | 📦 Total: 532
Epoch 80 | Train Loss: 0.1500 | Val Loss: 0.3299 | Val Acc: 89.10% | Sens: 0.89 | Spec: 0.90 | AUC: 0.95 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_080.pt
Epoch 81 | Train Loss: 0.1413 | Val Loss: 0.3264 | Val Acc: 88.35% | Sens: 0.85 | Spec: 0.92 | AUC: 0.95 | ✅ Correct: 470 | ❌ Incorrect: 62 | 📦 Total: 532
Epoch 82 | Train Loss: 0.1370 | Val Loss: 0.3379 | Val Acc: 89.66% | Sens: 0.92 | Spec: 0.88 | AUC: 0.95 | ✅ Correct: 477 | ❌ Incorrect: 55 | 📦 Total: 532
Epoch 83 | Train Loss: 0.1610 | Val Loss: 0.3577 | Val Acc: 86.47% | Sens: 0.78 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 460 | ❌ Incorrect: 72 | 📦 Total: 532
Epoch 84 | Train Loss: 0.1826 | Val Loss: 0.3134 | Val Acc: 89.10% | Sens: 0.87 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 474 | ❌ Incorrect: 58 | 📦 Total: 532
Epoch 85 | Train Loss: 0.1546 | Val Loss: 0.3260 | Val Acc: 87.97% | Sens: 0.82 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 468 | ❌ Incorrect: 64 | 📦 Total: 532
Epoch 86 | Train Loss: 0.1486 | Val Loss: 0.3419 | Val Acc: 87.03% | Sens: 0.80 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 463 | ❌ Incorrect: 69 | 📦 Total: 532
Epoch 87 | Train Loss: 0.1488 | Val Loss: 0.3409 | Val Acc: 87.41% | Sens: 0.81 | Spec: 0.94 | AUC: 0.96 | ✅ Correct: 465 | ❌ Incorrect: 67 | 📦 Total: 532
Epoch 88 | Train Loss: 0.1525 | Val Loss: 0.3124 | Val Acc: 89.47% | Sens: 0.88 | Spec: 0.91 | AUC: 0.96 | ✅ Correct: 476 | ❌ Incorrect: 56 | 📦 Total: 532
Epoch 89 | Train Loss: 0.1412 | Val Loss: 0.3114 | Val Acc: 89.47% | Sens: 0.89 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 476 | ❌ Incorrect: 56 | 📦 Total: 532
Epoch 90 | Train Loss: 0.1294 | Val Loss: 0.3158 | Val Acc: 90.04% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96 | ✅ Correct: 479 | ❌ Incorrect: 53 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_090.pt
